idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
34,1786913454.147514,1786913454.152346,1786913456.456890,1545236016.902630,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
35,1786913458.147659,1786913458.152658,1786913460.107957,1545236018.902597,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
36,1786913460.147491,1786913460.151941,1786913462.437468,1545236019.882693,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
37,1786913464.147541,1786913464.152438,1786913466.320204,1545236021.902569,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
38,1786913468.147476,1786913468.152306,1786913470.439432,1545236023.922633,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
39,1786913472.147718,1786913472.152922,1786913473.888170,1545236025.882617,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
40,1786913474.147452,1786913474.152109,1786913479.505843,1545236026.902694,41,44,1,1,0,871,72,128434176,122.484375,,,0,,128434176,122.484375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
41,1786913480.147758,1786913480.152752,1786913482.652744,1545236029.902567,15,18,1,1,0,845,72,124600320,118.828125,,,0,,124600320,118.828125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
42,1786913484.147667,1786913484.152554,1786913487.403023,1545236031.922488,23,25,1,1,0,852,72,125632512,119.812500,,,0,,125632512,119.812500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
43,1786913488.147733,1786913488.152602,1786913490.315065,1545236033.882473,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
44,1786913492.147654,1786913492.152471,1786913494.878008,1545236035.902520,17,20,1,1,0,847,72,124895232,119.109375,,,0,,124895232,119.109375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
45,1786913496.147503,1786913496.152562,1786913498.589630,1545236037.902443,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
46,1786913500.147628,1786913500.152470,1786913502.454705,1545236039.922448,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
47,1786913504.147532,1786913504.153232,1786913506.883086,1545236041.922422,17,20,1,1,0,847,72,124895232,119.109375,,,0,,124895232,119.109375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
48,1786913508.147477,1786913508.152255,1786913514.266595,1545236043.902399,47,50,1,1,0,877,72,129318912,123.328125,,,0,,129318912,123.328125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
49,1786913516.147468,1786913516.152236,1786913518.930920,1545236047.922363,17,20,1,1,0,847,72,124895232,119.109375,,,0,,124895232,119.109375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
50,1786913520.147497,1786913520.152303,1786913522.692601,1545236049.882417,15,18,1,1,0,845,72,124600320,118.828125,,,0,,124600320,118.828125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
51,1786913524.147606,1786913524.152698,1786913526.021058,1545236051.922370,9,12,1,1,0,839,72,123715584,117.984375,,,0,,123715584,117.984375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
52,1786913526.147628,1786913526.152265,1786913528.242689,1545236052.922340,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
53,1786913530.147531,1786913530.152870,1786913532.696063,1545236054.882306,15,18,1,1,0,845,72,124600320,118.828125,,,0,,124600320,118.828125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
54,1786913534.147852,1786913534.152856,1786913536.466940,1545236056.902365,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
55,1786913538.147560,1786913538.152510,1786913540.594275,1545236058.902375,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
56,1786913542.147563,1786913542.152691,1786913544.245375,1545236060.922315,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
57,1786913546.147535,1786913546.152462,1786913547.660996,1545236062.882249,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
58,1786913548.147540,1786913548.152358,1786913550.420275,1545236063.922281,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
59,1786913552.147494,1786913552.152531,1786913554.529744,1545236065.902293,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
60,1786913556.147492,1786913556.152303,1786913558.579736,1545236067.902213,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
61,1786913560.147698,1786913560.152524,1786913562.454726,1545236069.922260,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
62,1786913564.147774,1786913564.152875,1786913566.003599,1545236071.882316,9,12,1,1,0,839,72,123715584,117.984375,,,0,,123715584,117.984375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
63,1786913566.147554,1786913566.152226,1786913568.877932,1545236072.902180,17,20,1,1,0,847,72,124895232,119.109375,,,0,,124895232,119.109375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
64,1786913570.147595,1786913570.152478,1786913572.653854,1545236074.922160,15,18,1,1,0,845,72,124600320,118.828125,,,0,,124600320,118.828125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
65,1786913574.147525,1786913574.152385,1786913576.104653,1545236076.882249,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
66,1786913576.147792,1786913576.152276,1786913578.550064,1545236077.922225,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
67,1786913580.147528,1786913580.152578,1786913582.757424,1545236079.882269,16,19,1,1,0,846,72,124747776,118.968750,,,0,,124747776,118.968750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
68,1786913584.147540,1786913584.152510,1786913586.546365,1545236081.902133,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
69,1786913588.147550,1786913588.152633,1786913591.104800,1545236083.902162,19,22,1,1,0,849,72,125190144,119.390625,,,0,,125190144,119.390625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
70,1786913592.148287,1786913592.153314,1786913594.542189,1545236085.922084,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
71,1786913596.147558,1786913596.152824,1786913598.560909,1545236087.922098,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
72,1786913600.147449,1786913600.152621,1786913604.194763,1545236089.882042,29,32,1,1,0,859,72,126664704,120.796875,,,0,,126664704,120.796875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
73,1786913606.147872,1786913606.152706,1786913612.055766,1545236092.882114,0,47,0,0,0,874,72,128876544,122.906250,,,0,,128876544,122.906250,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
74,1786913612.147578,1786913612.152376,1786913614.142936,1545236095.922080,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
75,1786913614.147727,1786913614.152164,1786913616.581076,1545236096.902021,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
76,1786913618.147556,1786913618.152442,1786913620.858716,1545236098.902065,16,19,1,1,0,846,72,124747776,118.968750,,,0,,124747776,118.968750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
77,1786913622.147772,1786913622.152911,1786913624.131684,1545236100.921971,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
78,1786913624.147793,1786913624.152321,1786913625.904286,1545236101.921944,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
79,1786913626.147604,1786913626.152447,1786913629.139673,1545236102.922086,19,22,1,1,0,849,72,125190144,119.390625,,,0,,125190144,119.390625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
80,1786913630.147817,1786913630.153194,1786913632.919547,1545236104.921991,17,20,1,1,0,847,72,124895232,119.109375,,,0,,124895232,119.109375,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
81,1786913634.147812,1786913634.152876,1786913636.578788,1545236106.901981,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
82,1786913638.147805,1786913638.153017,1786913640.694140,1545236108.901975,0,18,0,0,0,845,72,124600320,118.828125,,,0,,124600320,118.828125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
