dataset,run,idx,ros_stamp_s,cfg_nav,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,prompt_kv_seq_len,prompt_kv_mib,unguided_prompt_kv_mib,total_kv_mib,model_parameter_mib,cuda_peak_allocated_gib,cuda_peak_reserved_gib,cuda_peak_allocated_delta_mib,cuda_peak_reserved_delta_mib,kv_pct_of_peak_allocated,model_duration_s,input_camera_frames,gpu_energy_j,total_energy_j,total_tflop
MCity,kv/mcity_diff2,100,1545236140.901797,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.303594,4,45.815,148.115,64.049
MCity,kv/mcity_diff2,101,1545236142.921634,0,18,21,1,1,848,119.250000,,119.250000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.556583,2.892564,4,54.989,182.395,64.084
MCity,kv/mcity_diff2,102,1545236144.901636,0,18,21,1,1,848,119.250000,,119.250000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.556583,2.872250,4,55.106,181.839,64.049
MCity,kv/mcity_diff2,103,1545236146.901737,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.431384,4,47.918,156.043,64.032
MCity,kv/mcity_diff2,104,1545236148.921597,0,0,64,0,0,891,125.296875,,125.296875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.584806,7.700047,4,132.555,465.001,64.032
MCity,kv/mcity_diff2,105,1545236152.881558,0,12,15,1,1,842,118.406250,,118.406250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.552645,2.211946,4,46.423,143.211,63.998
MCity,kv/mcity_diff2,106,1545236154.901681,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.090327,4,42.269,136.099,63.913
MCity,kv/mcity_diff2,107,1545236156.901679,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.067057,4,42.101,135.199,64.049
MCity,kv/mcity_diff2,108,1545236158.921581,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.440594,4,47.532,156.676,63.964
MCity,kv/mcity_diff2,109,1545236160.881557,0,16,19,1,1,846,118.968750,,118.968750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555270,2.663706,4,51.477,169.960,64.015
