run,idx,ros_stamp_s,camera_rows_matched,odom_minus_camera_stamp_mean_s,odom_minus_camera_stamp_min_s,odom_minus_camera_stamp_max_s,camera_staleness_mean_s,camera_staleness_max_s,selected_count_min,buffer_len_max,received_count_max
diffusion_matched/mcity_diff10,125,1545236203.901169,1,-0.002930,-0.002930,-0.002930,0.000000,0.000000,4,12,2574
diffusion_matched/mcity_diff10,126,1545236204.881136,1,-0.121910,-0.121910,-0.121910,0.000000,0.000000,4,12,2585
diffusion_matched/mcity_diff10,127,1545236206.901187,1,-0.099989,-0.099989,-0.099989,0.000000,0.000000,4,12,2605
diffusion_matched/mcity_diff10,128,1545236207.901150,1,0.001044,0.001044,0.001044,0.000000,0.000000,4,12,2614
diffusion_matched/mcity_diff10,129,1545236208.701174,1,-0.297887,-0.297887,-0.297887,0.000000,0.000000,4,12,2625
diffusion_matched/mcity_diff10,130,1545236208.701174,1,-2.296387,-2.296387,-2.296387,0.000000,0.000000,4,12,2645
diffusion_matched/mcity_diff2,0,1545235952.923106,1,-0.011394,-0.011394,-0.011394,0.000000,0.000000,4,12,62
diffusion_matched/mcity_diff2,1,1545235954.923095,1,-0.009954,-0.009954,-0.009954,0.000000,0.000000,4,12,82
diffusion_matched/mcity_diff2,2,1545235956.923071,1,-0.008010,-0.008010,-0.008010,0.000000,0.000000,4,12,102
diffusion_matched/mcity_diff2,3,1545235959.923032,1,-0.005333,-0.005333,-0.005333,0.000000,0.000000,4,12,132
diffusion_matched/mcity_diff2,4,1545235961.883028,1,-0.043224,-0.043224,-0.043224,0.000000,0.000000,4,12,152
diffusion_matched/mcity_diff2,5,1545235962.923022,1,-0.002580,-0.002580,-0.002580,0.000000,0.000000,4,12,162
diffusion_matched/mcity_diff2,6,1545235963.903080,1,-0.021612,-0.021612,-0.021612,0.000000,0.000000,4,12,172
diffusion_matched/mcity_diff2,7,1545235964.882997,1,-0.040493,-0.040493,-0.040493,0.000000,0.000000,4,12,182
diffusion_matched/mcity_diff2,8,1545235965.923000,1,0.000087,0.000087,0.000087,0.000000,0.000000,4,12,192
diffusion_matched/mcity_diff2,9,1545235966.923059,1,0.000976,0.000976,0.000976,0.000000,0.000000,4,12,202
diffusion_matched/mcity_diff2,10,1545235967.902999,1,-0.017765,-0.017765,-0.017765,0.000000,0.000000,4,12,212
diffusion_matched/mcity_diff2,11,1545235968.883028,1,-0.037177,-0.037177,-0.037177,0.000000,0.000000,4,12,222
diffusion_matched/mcity_diff2,12,1545235969.903026,1,-0.016236,-0.016236,-0.016236,0.000000,0.000000,4,12,232
diffusion_matched/mcity_diff2,13,1545235970.882940,1,-0.035047,-0.035047,-0.035047,0.000000,0.000000,4,12,242
diffusion_matched/mcity_diff2,14,1545235971.922974,1,0.005551,0.005551,0.005551,0.000000,0.000000,4,12,252
diffusion_matched/mcity_diff2,15,1545235972.903028,1,-0.013521,-0.013521,-0.013521,0.000000,0.000000,4,12,262
